Self-harm | C0424366
Columbia-Suicide Severity Rating Scale Baseline/Screening Version Phase 1 Study 1/14/09 Questionnaire | C3641945
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830704
C-SSRS Baseline/Screening Version - Preparatory Acts or Behaviors Toward Suicide Attempt (Past X Years) | C3830856
C-SSRS Baseline/Screening Version Phase 1 Study - Preparatory Acts or Behaviors Toward Suicide Attempt | C3642028
C-SSRS Baseline/Screening Version Phase 1 Study - First Suicide Attempt Actual Lethality/Medical Damage | C3642038
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3830701
C-SSRS Children's Since Last Visit - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830753
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Preparatory Acts or Behaviors Toward Suicide Attempt (Lifetime) | C3830686
Allogeneic Third-party Suicide Gene-transduced Anti-HLA-DPB1*0401 CD4+ T-cells CTL 19 | C5418086
C-SSRS Already Enrolled Subjects - Preparatory Acts or Behaviors Toward Suicide Attempt (Since Study Start) | C3830917
C-SSRS Lifetime/Recent Version - Preparatory Acts or Behaviors Toward Suicide Attempt (Past 3 Months) | C3899853
Suicidal | C0438696
Columbia - suicide severity rating scale - very young child or cognitively impaired - lifetime recent:-:Pt:^Patient:-:C-SSRS | C5212021
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Number of Aborted or Self-interrupted Suicide Attempt (Lifetime) | C3830692
C-SSRS Baseline/Screening Version Phase 1 Study - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3642035
C-SSRS Baseline/Screening Version Phase 1 Study - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3642032
C-SSRS Already Enrolled Subjects - Preparatory Acts or Behaviors Toward Suicide Attempt (Prior to Study Entry) | C3830918
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830714
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Aborted or Self-interrupted Suicide Attempt (Past 3 Months) | C3830732
Have you ever had an immediate family member, romantic partner, or very close friend commit suicide | C3259975
Suicide and self-inflicted poisoning by substances classifiable to E864 causing adverse effects in therapeutic use | C0868438
Suicidal behavior | C1760428
C-SSRS Baseline/Screening Version Phase 1 Study - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3642029
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Preparatory Acts or Behaviors Toward Suicide Attempt (Past 3 Months) | C3830685
Avoid repeated discussion of past suicide history by keeping discussions focused on the present and the future | C4713902
Suicidal intent | C0582496
Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers | C0261958
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Number of Aborted or Self-interrupted Suicide Attempt (Past 3 Months) | C3830691
Suicidal poisoning | C0274458
Depression suicidal | C0221745
Suicidal intention | C2363876
Suicidal ideation:Find:Pt:^Patient:Nom | C5203396
Suicidal intent:Find:Pt:^Patient:Ord | C5203653
Suicidal attempts | C5394358
suicidal ideas | C0850335
suicidal personality | C0850337
suicidal impulses | C0850336
Suicidality notes | C3166388
Explain suicide precautions and relevant safety issues to the patient/family/significant others (e.g., purpose, duration, behavioral expectations, and behavioral consequences) | C4713904
Provide small amounts of prescriptive medications that may be lethal to those at risk to decrease the opportunity for suicide, as appropriate | C4713900
Suicidal Ideation, CTCAE | C4554104
No suicidal thoughts | C1276357
Active suicidal ideation | C0749133
Passive suicidal ideation | C3203584
Suicidal Risk Monitoring | C5235449
Suicidal Ideation Questionnaire | C4726070
Verbalizes suicidal ideas | C0518672
SUICIDAL IDEATION DENIED | C0749134
Personal history of suicidal behavior | C5539310
Patients who had a completed suicide safety plan initiated, reviewed or updated in collaboration with their clinician (concurrent or within 24 hours) of the index clinical encounter | C5884213
IDS-C - Suicidal Ideation | C4330429
QIDS-C - Suicidal Ideation | C4331171
CDRS-R - Suicidal Ideation | C4744017
HAMD 24 - Suicidal Thoughts | C4330096
Suicidal Ideation Questionnaire-Junior | C4726071
Index assessment during the denominator period when the suicidal ideation and/or behavior symptoms or increased suicide risk by clinician determination occurs and a non-zero c-ssrs score is obtained | C5884220
Most severe suicidal ideation | C5211775
No suicidal ideation reported | C5214614
Homicidal and suicidal ideations | C2977674
Refer patient to mental health care provider (e.g., psychiatrist or psychiatric/mental health advanced practice nurse) for evaluation and treatment of suicide ideation and behavior, as needed | C4713905
Monitor for signs and symptoms of emotional abuse (e.g., low self-esteem, depression, humiliation, and defeat; overly cautious behavior around partner; aggression against self or suicide gestures) | C0811638
Monitor for suicidal tendencies | C4713866
expresses suicidal/homicidal thoughts | C1948150
Non suicidal self inflicted injury | C4543901
PREGNANCY AND SUICIDAL IDEATION | C0747830
SUICIDAL IDEATION NO ACTION | C0749135
Suicidal ideation:-:Pt:^Patient:-:C-SSRS | C5211750
Suicidal behavior:-:Pt:^Patient:-:C-SSRS | C5211784
Suicidal behavior:-:Pt:^Patient:-:C-SSRS.PCI | C5382459
Non-specific active suicidal thoughts | C5203261
Suicidal and self-injurious behaviour | C0852567
Patients who did not have a completed suicide safety plan initiated, reviewed or updated in collaboration with their clinician (concurrent or within 24 hours) of the index clinical encounter | C5884216
Suicidality notes:Txt:Pt:^Patient:Nom:DI-PAD CGP V 1.4 | C3176511
Determine whether the elder patient demonstrates signs of emotional abuse (e.g., low self-esteem, depression, humiliation and defeat, overly cautious behavior around caretaker, aggression against self or suicide gestures) | C0510163
C-SSRS Screening - Suicidal Behavior | C3830639
CDRS-R - Suicidal Ideation Comment | C4744018
C-SSRS Baseline - Suicidal Behavior | C3639935
Grade 3 Suicidal Ideation, CTCAE | C4686531
Grade 4 Suicidal Ideation, CTCAE | C4686967
Grade 1 Suicidal Ideation, CTCAE | C4685421
Grade 2 Suicidal Ideation, CTCAE | C4685968
Most severe suicidal ideation description | C5211752
Most severe suicidal ideation:Type:Lifetime:^Patient:Ord | C5211776
Preparatory acts or suicidal behaviors | C5211742
Behavioral cues of suicidal intent | C4540952
Verbal cues of suicidal intent | C4060918
Eryptosis | C3821784
Non-specific active suicidal thoughts:Find:Lifetime:^Patient:Ord | C5203260
Determine whether the child demonstrates signs of emotional abuse (e.g., lags in physical development, habit disorders, conduct learning disorders, neurotic traits or psychoneurotic reactions, behavioral extremes, cognitive developmental lags, attempted suicide) | C4709404
Treat and manage any psychiatric illness or symptoms that may be placing patient at risk for suicide (e.g., mood disorder, hallucinations, delusions, panic, substance abuse, grief, personality disorder, organic impairment, crisis) | C0812069
Preparatory actions toward imminent suicidal behavior | C3267153
Suicidal and self-injurious behaviours NEC | C0947781
Suicidality:Find:Pt:^Patient:Ord:DI-PAD CGP V 1.4 | C3176510
Self injurious behavior without suicidal intent | C3267152
UHDRS 1999 Version - Suicidal Thoughts: Severity | C4744074
UHDRS 1999 Version - Suicidal Thoughts: Frequency | C4744073
C-SSRS Children's Baseline - Suicidal Behavior | C3830768
Have you ever known someone who committed suicide or killed themselves; that is, a parent, a sister, a brother, a very close friend, a boyfriend or girlfriend, or someone who lived with you | C3260237
Duration of most severe suicidal ideation | C5211721
Controllability of most severe suicidal ideation | C5211769
Frequency of most severe suicidal ideation | C5211772
Reasons for most severe suicidal ideation | C5211763
Deterrents of most severe suicidal ideation | C5211766
Most severe suicidal ideation:Type:1Mo:^Patient:Ord | C5211774
Most severe suicidal ideation description:Find:Lifetime:^Patient:Nom | C5211753
Preparatory acts or suicidal behavior:Find:Lifetime:^Patient:Ord | C5211741
Preparatory acts or suicidal behaviors:Num:Lifetime:^Patient:Qn | C5211743
Self-inflicted injury without suicidal intent | C5539368
Do not leave suicidal patient alone | C4711103
Shares suicidal ideas with health professional | C4715348
C-SSRS Children's Baseline/Screening - Suicidal Behavior | C3830772
C-SSRS Baseline - Non-Specific Suicidal Thought | C3639910
C-SSRS Baseline - Suicidal Ideation-No Intent | C3639912
C-SSRS Since Last Visit - Suicidal Behavior | C3641604
Most severe suicidal ideation description:Find:1Mo:^Patient:Nom | C5211751
Suicidal ideation present at least two weeks | C3842864
Preparatory acts or suicidal behavior:Find:3Mo:^Patient:Ord | C5211744
Suicidal ideation present at least one month | C3842863
Non-specific active suicidal thoughts:Find:1Mo:^Patient:Ord | C5211713
Preparatory acts or suicidal behaviors:Num:3Mo:^Patient:Ord | C5211745
Determine presence and degree of suicidal risk | C0810986
Patients who had a suicide safety plan initiated, reviewed, or updated and reviewed and updated in collaboration with the patient and their clinician concurrent or within 24 hours of clinical encounter and within 120 days after initiation | C5884214
MIR34BHG gene | C5576700
Patients who did not have a suicide safety plan initiated, reviewed, or updated or reviewed and updated in collaboration with the patient and their clinician concurrent or within 24 hours of clinical encounter and within 120 days after initiation | C5884217
C-SSRS Screening - Non-Specific Active Suicidal Thoughts | C3830647
C-SSRS Screening - Non-suicidal Self-injurious Behavior | C3830646
C-SSRS Baseline/Screening Version - Suicidal Behavior (Lifetime) | C3830852
C-SSRS Baseline - Non-suicidal Self-injurious Behavior | C3639926
C-SSRS Lifetime/Recent Version - Suicidal Behavior (Lifetime) | C3899849
C-SSRS Children's Since Last Visit - Suicidal Behavior | C3830736
Active suicidal ideation with specific plan and intent | C5211719
Duration of most severe suicidal ideation:Find:Lifetime:^Patient:Ord:C-SSRS | C5211720
Deterrents of most severe suicidal ideation:Find:Lifetime:^Patient:Ord:C-SSRS | C5211767
Controllability of most severe suicidal ideation:Find:Lifetime:^Patient:Ord:C-SSRS | C5211770
Frequency of most severe suicidal ideation:Find:Lifetime:^Patient:Ord:C-SSRS | C5211773
Reasons for most severe suicidal ideation:Find:Lifetime:^Patient:Ord:C-SSRS | C5211764
Frequency of most severe suicidal ideation:Find:Lifetime:^Patient:Ord:C-SSRS.PCI | C5212056
C-SSRS Since Last Visit - Non-Specific Suicidal Thought | C3641580
C-SSRS Baseline - Description of Suicidal Ideation-No Intent | C3639913
C-SSRS Children's Baseline - Non-Specific Active Suicidal Thoughts | C3830820
C-SSRS Since Last Visit - Suicidal Ideation-No Intent | C3641582
C-SSRS Children's Baseline - Non-suicidal Self-injurious Behavior | C3830819
Has subject engaged in non-suicidal self-injurious behavior | C5211729
Active suicidal ideation with specific plan and intent:Find:Lifetime:^Patient:Ord | C5211777
Controllability of most severe suicidal ideation:Find:1Mo:^Patient:Ord:C-SSRS | C5211768
Duration of most severe suicidal ideation:Find:1Mo:^Patient:Ord:C-SSRS | C5211722
Deterrents of most severe suicidal ideation:Find:1Mo:^Patient:Ord:C-SSRS | C5211765
Frequency of most severe suicidal ideation:Find:1Mo:^Patient:Ord:C-SSRS | C5211771
Reasons for most severe suicidal ideation:Find:1Mo:^Patient:Ord:C-SSRS | C5211762
Frequency of most severe suicidal ideation:Find:1Mo:^Patient:Ord:C-SSRS.PCI | C5212055
Personal history of self-inflicted injury without suicidal intent | C5539393
C-SSRS Screening - Description of Non-Specific Active Suicidal Thoughts | C3830664
C-SSRS Children's Baseline/Screening - Non-suicidal Self-injurious Behavior | C3830779
C-SSRS Baseline/Screening Version Phase 1 Study - Suicidal Behavior | C3642030
C-SSRS Baseline/Screening Version - Suicidal Behavior (Past X Years) | C3830851
C-SSRS Since Last Visit - Non-suicidal Self-injurious Behavior | C3641595
C-SSRS Already Enrolled Subjects - Suicidal Behavior (Since Study Start) | C3830912
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Suicidal Behavior (Lifetime) | C3830681
C-SSRS Lifetime/Recent Version - Suicidal Behavior (Past 3 Months) | C3899848
Has subject engaged in non-suicidal self-injurious behavior:Find:Lifetime:^Patient:Ord | C5211728
Sustained depression with vegetative symptoms and suicidal thoughts or intent | C4035445
Active suicidal ideation with specific plan and intent:Find:1Mo:^Patient:Ord | C5211718
Suicidal ideation and/or behavior symptoms based on the c-ssrs | C5884221
C-SSRS Screening - Active Suicidal Ideation with Specific Plan and Intent | C3830674
C-SSRS Children's Baseline/Screening - Non-Specific Active Suicidal Thoughts (Lifetime) | C3830781
C-SSRS Baseline/Screening Version - Non-Specific Active Suicidal Thoughts (Lifetime) | C3830867
C-SSRS Baseline/Screening Version - Non-suicidal Self-injurious Behavior (Lifetime) | C3830865
C-SSRS Children's Baseline - Description of Non-Specific Active Suicidal Thoughts | C3830836
C-SSRS Since Last Visit - Description of Suicidal Ideation-No Intent | C3641583
